@RELATION biodiversitySpreadsheets_TestSetWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{spCatalog,spOccurrence,geneData,spMonitoring,expObservation}

@DATA
0.08,0.00,0.01,0.00,0.02,0.00,expObservation
0.12,0.02,0.00,0.00,0.03,0.00,expObservation
0.12,0.02,0.00,0.00,0.03,0.00,expObservation
0.03,0.00,0.00,0.00,0.49,0.00,expObservation
0.03,0.00,0.00,0.00,0.49,0.00,expObservation
1.25,0.00,0.00,0.00,0.00,0.00,expObservation
1.00,0.00,0.00,0.00,0.00,0.25,expObservation
0.15,0.31,0.04,0.00,0.01,0.02,expObservation
0.08,0.00,0.00,0.01,0.04,0.00,expObservation
0.00,0.00,0.11,0.00,1.00,0.06,expObservation
0.07,0.00,0.04,0.11,0.00,0.00,expObservation
0.00,0.00,0.31,0.00,0.00,0.00,expObservation
0.00,0.00,0.06,0.00,0.00,1.31,expObservation
0.00,1.25,0.00,0.00,0.13,0.00,expObservation
1.00,0.00,0.00,0.00,0.06,0.00,expObservation
0.00,0.00,1.00,0.11,0.25,0.00,expObservation
0.00,0.00,0.00,0.00,0.25,0.06,expObservation
0.10,0.00,0.11,0.00,0.00,0.25,expObservation
0.25,0.00,0.00,0.00,1.02,0.02,expObservation
1.00,0.00,0.00,0.00,0.12,0.02,expObservation
0.00,0.00,0.00,0.00,0.17,0.00,expObservation
0.06,0.00,0.00,0.00,1.25,0.00,expObservation
1.11,0.06,0.00,0.00,0.00,0.00,expObservation
0.00,0.00,0.00,0.02,0.37,0.02,expObservation
0.09,0.00,0.00,0.00,0.00,0.25,expObservation
1.01,0.00,0.00,0.00,0.45,0.00,expObservation
1.00,0.00,0.00,0.00,0.00,0.06,expObservation
0.01,0.00,0.11,0.00,1.02,0.03,expObservation
0.04,0.00,0.00,0.00,0.03,0.00,expObservation
0.03,0.00,0.01,0.00,1.25,0.00,expObservation
0.00,0.00,0.17,0.00,1.00,0.00,expObservation
0.04,0.00,0.00,0.00,0.18,0.25,expObservation
1.06,0.00,0.04,0.00,0.25,0.11,expObservation
0.00,0.00,1.11,0.00,0.00,0.25,expObservation
0.11,0.00,0.01,0.00,0.01,1.01,expObservation
0.02,0.00,0.01,0.35,0.03,0.00,expObservation
0.00,0.25,0.00,0.00,0.14,0.00,expObservation
0.04,0.00,0.00,0.00,0.25,0.00,expObservation
0.05,1.00,0.00,0.00,0.26,0.00,expObservation
0.37,0.00,0.01,0.00,0.00,0.00,spMonitoring
0.12,0.00,0.01,0.03,0.01,0.02,spMonitoring
0.12,0.02,0.01,0.00,0.02,1.01,spMonitoring
0.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.06,0.00,0.06,1.01,0.02,0.07,spMonitoring
0.08,0.02,0.01,0.00,0.02,0.26,spMonitoring
0.13,0.00,0.00,0.00,0.00,0.02,spMonitoring
0.00,0.00,0.00,0.00,1.36,0.06,spMonitoring
0.31,0.11,0.00,0.02,0.00,0.00,spMonitoring
0.12,0.02,0.01,0.00,0.02,1.01,spMonitoring
0.12,0.02,0.01,0.00,0.02,1.01,spMonitoring
0.17,0.00,0.00,0.00,0.02,0.00,spMonitoring
0.03,0.00,0.07,0.01,0.19,1.25,spMonitoring
0.41,0.00,0.00,0.01,0.00,1.00,spMonitoring
0.19,0.00,0.04,0.00,0.00,1.02,spMonitoring
0.19,0.00,0.04,0.00,0.00,1.02,spMonitoring
1.33,0.00,0.00,0.01,0.11,0.00,spMonitoring
0.15,0.00,0.00,0.10,0.00,1.28,spMonitoring
0.27,0.00,0.03,0.00,0.00,0.00,spMonitoring
0.25,0.00,0.03,0.00,0.00,1.00,spMonitoring
1.03,0.04,0.03,0.00,0.02,0.32,spMonitoring
0.26,1.00,0.01,0.01,0.11,0.02,spMonitoring
0.27,0.00,0.01,0.06,0.00,1.16,spMonitoring
0.08,0.00,0.00,0.00,1.00,0.32,spMonitoring
0.04,0.00,0.01,0.11,0.00,1.25,spMonitoring
0.06,0.00,0.36,0.04,0.00,1.00,spMonitoring
0.25,0.00,0.02,0.00,0.00,0.10,spMonitoring
0.20,0.00,0.00,1.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.04,1.00,spMonitoring
0.16,0.00,1.00,0.01,0.07,0.33,spMonitoring
0.25,1.00,0.00,0.01,0.17,0.07,spMonitoring
0.11,0.00,0.00,1.00,0.04,0.36,spMonitoring
0.36,0.00,0.00,0.02,0.00,1.11,spMonitoring
0.17,0.00,0.07,0.00,0.00,1.00,spMonitoring
0.28,0.00,0.02,0.00,0.00,0.10,spMonitoring
0.07,0.00,0.00,0.01,0.00,0.02,spMonitoring
1.38,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.32,0.00,0.02,0.00,0.03,0.07,spMonitoring
1.31,0.00,0.00,0.00,0.11,0.06,spMonitoring
1.30,0.00,0.00,0.00,0.01,0.02,spMonitoring
0.08,0.00,0.00,0.00,0.00,1.02,spMonitoring
0.40,0.00,0.00,0.01,0.00,0.01,spMonitoring
0.00,0.00,0.17,0.25,1.00,0.00,spMonitoring
0.00,0.00,0.13,0.00,1.12,0.07,spMonitoring
0.17,0.00,0.06,0.00,0.00,1.29,spMonitoring
