@RELATION biodiversitySpreadsheets_whithWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{spCatalog,spOccurrence,geneData,spMonitoring,expObservation}

@DATA
0.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.31,0.00,0.00,0.15,0.00,0.00,spMonitoring
0.31,0.00,0.00,0.15,0.00,0.00,spMonitoring
1.11,0.00,0.00,0.00,0.03,0.04,spMonitoring
1.00,0.00,0.00,0.00,0.10,0.00,spMonitoring
0.25,0.00,0.00,0.00,0.21,0.00,spMonitoring
0.03,0.00,0.37,0.00,0.00,0.00,spMonitoring
0.02,0.00,1.03,0.00,0.13,0.00,spMonitoring
0.03,0.00,0.00,0.00,0.00,0.02,spMonitoring
0.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.37,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.06,0.00,0.00,1.25,spMonitoring
0.00,0.00,0.00,0.00,1.36,0.06,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.11,0.00,0.00,0.00,0.06,0.00,spMonitoring
0.00,0.00,0.11,0.00,0.04,0.00,spMonitoring
0.17,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.33,0.00,0.00,0.00,0.01,0.01,spMonitoring
0.35,0.00,0.00,0.00,0.00,0.02,spMonitoring
0.35,0.00,0.00,0.00,0.00,0.02,spMonitoring
0.00,0.11,0.00,0.00,1.25,0.00,spMonitoring
0.00,0.00,0.06,0.00,0.00,0.25,spMonitoring
0.00,0.00,0.06,0.00,0.00,0.25,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.20,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.25,1.00,0.00,0.00,0.00,spMonitoring
0.25,0.00,0.00,0.00,0.17,1.00,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.03,spMonitoring
0.03,0.00,0.31,0.00,0.17,0.00,spMonitoring
0.17,0.00,0.01,0.00,0.00,0.00,spMonitoring
0.17,0.00,0.01,0.00,0.00,0.00,spMonitoring
0.00,0.25,0.00,0.00,0.00,0.05,spMonitoring
0.00,0.25,0.00,0.00,0.00,0.07,spMonitoring
0.00,0.00,0.00,0.00,0.25,1.00,spMonitoring
0.25,0.00,0.11,0.00,0.00,0.00,spMonitoring
0.35,0.00,0.00,0.00,0.00,0.02,spMonitoring
0.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.25,0.00,0.00,1.00,spMonitoring
1.00,0.00,0.00,0.00,0.04,0.25,spMonitoring
0.06,0.00,0.00,0.06,0.05,1.02,spMonitoring
0.25,0.00,0.17,0.00,0.03,1.00,spMonitoring
0.34,0.00,0.01,0.00,0.01,0.01,spMonitoring
0.21,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.03,0.00,1.25,0.00,0.00,0.00,spMonitoring
0.06,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.08,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.08,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.25,0.00,0.00,0.00,0.06,0.00,spMonitoring
0.19,0.00,0.00,0.00,0.00,0.01,spMonitoring
0.00,0.00,0.06,0.00,0.00,1.00,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
1.00,0.00,0.06,0.00,0.15,0.00,spMonitoring
1.04,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.00,0.27,spMonitoring
0.06,1.00,0.11,0.00,0.00,0.04,spMonitoring
0.00,0.00,0.00,0.00,0.36,0.00,spMonitoring
0.06,0.25,1.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.42,0.00,0.00,0.00,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.03,0.00,0.01,0.11,0.03,0.07,spMonitoring
0.13,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.21,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.23,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.23,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,1.11,0.00,spMonitoring
0.17,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.64,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.04,0.00,1.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.00,0.36,spMonitoring
0.04,0.00,1.01,0.00,0.00,0.00,spMonitoring
0.06,0.00,0.36,0.04,0.00,1.00,spMonitoring
1.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.25,0.00,0.00,1.00,spMonitoring
0.00,0.00,0.00,0.00,1.04,0.00,spMonitoring
0.00,0.00,0.00,0.00,1.04,0.00,spMonitoring
0.00,0.00,0.00,0.00,1.25,0.00,spMonitoring
0.01,0.00,0.00,0.00,0.04,1.03,spMonitoring
0.09,0.00,0.00,0.00,0.00,0.04,spMonitoring
0.00,0.00,0.17,0.00,0.00,0.00,spMonitoring
0.17,0.00,0.00,0.00,0.00,0.04,spMonitoring
0.17,0.00,0.00,0.00,0.00,0.04,spMonitoring
0.00,0.00,0.26,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.26,0.00,0.00,0.00,spMonitoring
0.35,0.00,0.00,0.00,0.00,0.02,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.02,0.00,0.00,0.00,0.25,0.03,spMonitoring
0.00,0.00,0.00,0.00,0.21,0.00,spMonitoring
1.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.00,1.00,0.00,0.00,0.00,0.06,spMonitoring
0.11,0.00,0.00,0.00,1.00,0.25,spMonitoring
0.00,1.00,0.25,0.00,0.00,0.00,spMonitoring
0.00,1.00,0.25,0.00,0.00,0.06,spMonitoring
0.00,0.11,0.00,0.00,0.00,1.00,spMonitoring
1.00,0.00,0.00,0.00,0.36,0.00,spMonitoring
0.11,0.00,0.00,0.00,0.06,0.29,spMonitoring
0.06,0.00,1.00,0.00,0.00,0.00,spMonitoring
0.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.24,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.11,0.00,0.06,0.25,spMonitoring
0.10,0.00,0.00,0.00,0.00,0.00,spMonitoring
