@RELATION biodiversitySpreadsheets_whithoutWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,spCatalog,spOccurrence,geneData,spMonitoring}

@DATA
2.00,1.00,0.00,0.00,0.00,0.00,spCatalog
2.00,1.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,1.00,0.00,1.00,1.00,spCatalog
2.00,1.00,0.00,0.00,0.00,0.00,spCatalog
6.00,0.00,0.00,1.00,0.00,0.00,spCatalog
3.00,0.00,0.00,0.00,2.00,0.00,spCatalog
3.00,0.00,0.00,0.00,1.00,1.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
9.00,4.00,5.00,5.00,9.00,3.00,spCatalog
0.00,2.00,0.00,2.00,1.00,0.00,spCatalog
6.00,1.00,0.00,0.00,0.00,0.00,spCatalog
6.00,0.00,0.00,0.00,0.00,0.00,spCatalog
2.00,1.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,2.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,0.00,2.00,2.00,spCatalog
7.00,0.00,0.00,0.00,2.00,2.00,spCatalog
7.00,0.00,0.00,0.00,2.00,2.00,spCatalog
6.00,0.00,0.00,0.00,2.00,2.00,spCatalog
6.00,0.00,0.00,0.00,2.00,2.00,spCatalog
7.00,0.00,0.00,0.00,2.00,2.00,spCatalog
7.00,0.00,0.00,0.00,2.00,2.00,spCatalog
3.00,0.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
3.00,0.00,0.00,0.00,1.00,0.00,spCatalog
3.00,0.00,0.00,0.00,1.00,1.00,spCatalog
5.00,4.00,1.00,0.00,5.00,2.00,spCatalog
9.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
9.00,0.00,1.00,0.00,0.00,1.00,spCatalog
0.00,2.00,1.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
16.00,2.00,0.00,0.00,4.00,2.00,spCatalog
9.00,0.00,0.00,0.00,1.00,0.00,spCatalog
4.00,1.00,0.00,0.00,0.00,0.00,spCatalog
9.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,0.00,0.00,0.00,0.00,1.00,spCatalog
3.00,1.00,0.00,0.00,1.00,0.00,spCatalog
7.00,2.00,0.00,0.00,1.00,0.00,spCatalog
4.00,1.00,0.00,1.00,0.00,0.00,spCatalog
7.00,0.00,1.00,1.00,2.00,3.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,1.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
8.00,2.00,0.00,0.00,0.00,0.00,spCatalog
3.00,0.00,0.00,0.00,0.00,1.00,spCatalog
8.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
2.00,1.00,0.00,0.00,0.00,0.00,spCatalog
9.00,3.00,5.00,3.00,6.00,3.00,spCatalog
7.00,0.00,0.00,0.00,5.00,1.00,spCatalog
3.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
6.00,1.00,1.00,1.00,0.00,2.00,spCatalog
12.00,1.00,0.00,1.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,0.00,5.00,1.00,spCatalog
4.00,1.00,1.00,1.00,3.00,1.00,spCatalog
8.00,0.00,0.00,0.00,1.00,0.00,spCatalog
4.00,1.00,0.00,0.00,1.00,1.00,spCatalog
6.00,1.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,1.00,0.00,0.00,spCatalog
8.00,1.00,0.00,0.00,0.00,0.00,spCatalog
