@relation biodiversitySpreadsheets_whithoutWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
400,0,1600,0,1,1,0.2,1,0.8,0.333333,1,1,0
384,16,1208,392,0.755,0.96,0.241206,0.96,0.758794,0.385542,0.796,1.20603,0.000105
384,16,1207,393,0.754375,0.96,0.241358,0.96,0.758642,0.385736,0.7955,1.206788,0.000106
384,16,1206,394,0.75375,0.96,0.241509,0.96,0.758491,0.38593,0.795,1.207547,0.00023
384,16,1205,395,0.753125,0.96,0.241661,0.96,0.758339,0.386124,0.7945,1.208307,0.000244
383,17,1204,396,0.7525,0.9575,0.241336,0.9575,0.758664,0.385506,0.7935,1.206679,0.000263
383,17,1203,397,0.751875,0.9575,0.241488,0.9575,0.758512,0.3857,0.793,1.20744,0.000316
383,17,1201,399,0.750625,0.9575,0.241793,0.9575,0.758207,0.386089,0.792,1.208965,0.000528
383,17,1199,401,0.749375,0.9575,0.242099,0.9575,0.757901,0.386478,0.791,1.210493,0.000714
383,17,1198,402,0.74875,0.9575,0.242252,0.9575,0.757748,0.386673,0.7905,1.211259,0.000769
383,17,1197,403,0.748125,0.9575,0.242405,0.9575,0.757595,0.386869,0.79,1.212025,0.000833
383,17,1196,404,0.7475,0.9575,0.242559,0.9575,0.757441,0.387064,0.7895,1.212793,0.000977
383,17,1195,405,0.746875,0.9575,0.242712,0.9575,0.757288,0.38726,0.789,1.213561,0.001081
383,17,1194,406,0.74625,0.9575,0.242866,0.9575,0.757134,0.387456,0.7885,1.214331,0.001303
383,17,1193,407,0.745625,0.9575,0.24302,0.9575,0.75698,0.387652,0.788,1.215102,0.001308
383,17,1192,408,0.745,0.9575,0.243175,0.9575,0.756825,0.387848,0.7875,1.215873,0.001667
383,17,1191,409,0.744375,0.9575,0.243329,0.9575,0.756671,0.388045,0.787,1.216645,0.001667
383,17,1190,410,0.74375,0.9575,0.243484,0.9575,0.756516,0.388241,0.7865,1.217419,0.001765
383,17,1189,411,0.743125,0.9575,0.243639,0.9575,0.756361,0.388438,0.786,1.218193,0.001875
383,17,1188,412,0.7425,0.9575,0.243794,0.9575,0.756206,0.388635,0.7855,1.218969,0.002
383,17,1186,414,0.74125,0.9575,0.244105,0.9575,0.755895,0.38903,0.7845,1.220523,0.002353
383,17,1184,416,0.74,0.9575,0.244416,0.9575,0.755584,0.389426,0.7835,1.22208,0.0025
383,17,1182,418,0.73875,0.9575,0.244728,0.9575,0.755272,0.389822,0.7825,1.223642,0.002707
383,17,1180,420,0.7375,0.9575,0.245042,0.9575,0.754958,0.390219,0.7815,1.225208,0.002833
382,18,1179,421,0.736875,0.955,0.244715,0.955,0.755285,0.389597,0.7805,1.223575,0.003125
382,18,1178,422,0.73625,0.955,0.244872,0.955,0.755128,0.389796,0.78,1.224359,0.003333
382,18,1175,425,0.734375,0.955,0.245344,0.955,0.754656,0.390393,0.7785,1.226718,0.003571
382,18,1174,426,0.73375,0.955,0.245501,0.955,0.754499,0.390593,0.778,1.227506,0.00375
382,18,1173,427,0.733125,0.955,0.245659,0.955,0.754341,0.390793,0.7775,1.228296,0.004
382,18,1166,434,0.72875,0.955,0.24677,0.955,0.75323,0.392197,0.774,1.23385,0.004
382,18,1164,436,0.7275,0.955,0.247089,0.955,0.752911,0.3926,0.773,1.235446,0.004211
382,18,1163,437,0.726875,0.955,0.247249,0.955,0.752751,0.392802,0.7725,1.236246,0.00434
382,18,1161,439,0.725625,0.955,0.24757,0.955,0.75243,0.393206,0.7715,1.237848,0.004762
382,18,1160,440,0.725,0.955,0.24773,0.955,0.75227,0.393409,0.771,1.238651,0.004783
382,18,1159,441,0.724375,0.955,0.247891,0.955,0.752109,0.393612,0.7705,1.239455,0.004872
382,18,1157,443,0.723125,0.955,0.248213,0.955,0.751787,0.394018,0.7695,1.241066,0.005
382,18,1149,451,0.718125,0.955,0.24951,0.955,0.75049,0.39565,0.7655,1.247551,0.005174
