@relation biodiversitySpreadsheets_TestSetWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
39,0,156,0,1,1,0.2,1,0.8,0.333333,1,1,0
37,2,101,55,0.647436,0.948718,0.268116,0.948718,0.731884,0.418079,0.707692,1.34058,0.01
37,2,100,56,0.641026,0.948718,0.270073,0.948718,0.729927,0.420455,0.702564,1.350365,0.01
37,2,82,74,0.525641,0.948718,0.310924,0.948718,0.689076,0.468354,0.610256,1.554622,0.02
35,4,78,78,0.5,0.897436,0.309735,0.897436,0.690265,0.460526,0.579487,1.548673,0.02
35,4,77,79,0.49359,0.897436,0.3125,0.897436,0.6875,0.463576,0.574359,1.5625,0.03
35,4,76,80,0.487179,0.897436,0.315315,0.897436,0.684685,0.466667,0.569231,1.576577,0.03
35,4,74,82,0.474359,0.897436,0.321101,0.897436,0.678899,0.472973,0.558974,1.605505,0.03
35,4,73,83,0.467949,0.897436,0.324074,0.897436,0.675926,0.47619,0.553846,1.62037,0.04
35,4,71,85,0.455128,0.897436,0.330189,0.897436,0.669811,0.482759,0.54359,1.650943,0.05
35,4,70,86,0.448718,0.897436,0.333333,0.897436,0.666667,0.486111,0.538462,1.666667,0.057667
35,4,69,87,0.442308,0.897436,0.336538,0.897436,0.663462,0.48951,0.533333,1.682692,0.06
35,4,67,89,0.429487,0.897436,0.343137,0.897436,0.656863,0.496454,0.523077,1.715686,0.07
35,4,66,90,0.423077,0.897436,0.346535,0.897436,0.653465,0.5,0.517949,1.732673,0.0975
35,4,65,91,0.416667,0.897436,0.35,0.897436,0.65,0.503597,0.512821,1.75,0.1
35,4,64,92,0.410256,0.897436,0.353535,0.897436,0.646465,0.507246,0.507692,1.767677,0.1
35,4,60,96,0.384615,0.897436,0.368421,0.897436,0.631579,0.522388,0.487179,1.842105,0.11
35,4,57,99,0.365385,0.897436,0.380435,0.897436,0.619565,0.534351,0.471795,1.902174,0.125
34,5,57,99,0.365385,0.871795,0.373626,0.871795,0.626374,0.523077,0.466667,1.868132,0.14
34,5,54,102,0.346154,0.871795,0.386364,0.871795,0.613636,0.535433,0.451282,1.931818,0.15
34,5,52,104,0.333333,0.871795,0.395349,0.871795,0.604651,0.544,0.441026,1.976744,0.17
34,5,50,106,0.320513,0.871795,0.404762,0.871795,0.595238,0.552846,0.430769,2.02381,0.18
34,5,49,107,0.314103,0.871795,0.409639,0.871795,0.590361,0.557377,0.425641,2.048193,0.2
34,5,48,108,0.307692,0.871795,0.414634,0.871795,0.585366,0.561983,0.420513,2.073171,0.21
34,5,46,110,0.294872,0.871795,0.425,0.871795,0.575,0.571429,0.410256,2.125,0.251667
34,5,45,111,0.288462,0.871795,0.43038,0.871795,0.56962,0.576271,0.405128,2.151899,0.263833
34,5,44,112,0.282051,0.871795,0.435897,0.871795,0.564103,0.581197,0.4,2.179487,0.27
34,5,43,113,0.275641,0.871795,0.441558,0.871795,0.558442,0.586207,0.394872,2.207792,0.28
34,5,42,114,0.269231,0.871795,0.447368,0.871795,0.552632,0.591304,0.389744,2.236842,0.284667
34,5,41,115,0.262821,0.871795,0.453333,0.871795,0.546667,0.596491,0.384615,2.266667,0.3025
34,5,40,116,0.25641,0.871795,0.459459,0.871795,0.540541,0.60177,0.379487,2.297297,0.304
34,5,39,117,0.25,0.871795,0.465753,0.871795,0.534247,0.607143,0.374359,2.328767,0.31
34,5,38,118,0.24359,0.871795,0.472222,0.871795,0.527778,0.612613,0.369231,2.361111,0.331667
34,5,37,119,0.237179,0.871795,0.478873,0.871795,0.521127,0.618182,0.364103,2.394366,0.36
34,5,36,120,0.230769,0.871795,0.485714,0.871795,0.514286,0.623853,0.358974,2.428571,0.395274
34,5,35,121,0.224359,0.871795,0.492754,0.871795,0.507246,0.62963,0.353846,2.463768,0.419667
34,5,34,122,0.217949,0.871795,0.5,0.871795,0.5,0.635514,0.348718,2.5,0.42
34,5,32,124,0.205128,0.871795,0.515152,0.871795,0.484848,0.647619,0.338462,2.575758,0.45
34,5,31,125,0.198718,0.871795,0.523077,0.871795,0.476923,0.653846,0.333333,2.615385,0.4575
34,5,30,126,0.192308,0.871795,0.53125,0.871795,0.46875,0.660194,0.328205,2.65625,0.46
34,5,29,127,0.185897,0.871795,0.539683,0.871795,0.460317,0.666667,0.323077,2.698413,0.47
34,5,28,128,0.179487,0.871795,0.548387,0.871795,0.451613,0.673267,0.317949,2.741935,0.48
34,5,27,129,0.173077,0.871795,0.557377,0.871795,0.442623,0.68,0.312821,2.786885,0.513333
34,5,26,130,0.166667,0.871795,0.566667,0.871795,0.433333,0.686869,0.307692,2.833333,0.52
33,6,26,130,0.166667,0.846154,0.559322,0.846154,0.440678,0.673469,0.302564,2.79661,0.520243
32,7,26,130,0.166667,0.820513,0.551724,0.820513,0.448276,0.659794,0.297436,2.758621,0.546667
32,7,25,131,0.160256,0.820513,0.561404,0.820513,0.438596,0.666667,0.292308,2.807018,0.55
32,7,24,132,0.153846,0.820513,0.571429,0.820513,0.428571,0.673684,0.287179,2.857143,0.558822
31,8,24,132,0.153846,0.794872,0.563636,0.794872,0.436364,0.659574,0.282051,2.818182,0.57
31,8,22,134,0.141026,0.794872,0.584906,0.794872,0.415094,0.673913,0.271795,2.924528,0.58
30,9,22,134,0.141026,0.769231,0.576923,0.769231,0.423077,0.659341,0.266667,2.884615,0.59
29,10,22,134,0.141026,0.74359,0.568627,0.74359,0.431373,0.644444,0.261538,2.843137,0.61
28,11,22,134,0.141026,0.717949,0.56,0.717949,0.44,0.629213,0.25641,2.8,0.61
28,11,20,136,0.128205,0.717949,0.583333,0.717949,0.416667,0.643678,0.246154,2.916667,0.6225
28,11,19,137,0.121795,0.717949,0.595745,0.717949,0.404255,0.651163,0.241026,2.978723,0.63
28,11,18,138,0.115385,0.717949,0.608696,0.717949,0.391304,0.658824,0.235897,3.043478,0.64
28,11,17,139,0.108974,0.717949,0.622222,0.717949,0.377778,0.666667,0.230769,3.111111,0.644
28,11,16,140,0.102564,0.717949,0.636364,0.717949,0.363636,0.674699,0.225641,3.181818,0.650509
27,12,16,140,0.102564,0.692308,0.627907,0.692308,0.372093,0.658537,0.220513,3.139535,0.655
27,12,15,141,0.096154,0.692308,0.642857,0.692308,0.357143,0.666667,0.215385,3.214286,0.66
27,12,14,142,0.089744,0.692308,0.658537,0.692308,0.341463,0.675,0.210256,3.292683,0.67
26,13,13,143,0.083333,0.666667,0.666667,0.666667,0.333333,0.666667,0.2,3.333333,0.68
26,13,12,144,0.076923,0.666667,0.684211,0.666667,0.315789,0.675325,0.194872,3.421053,0.71
26,13,11,145,0.070513,0.666667,0.702703,0.666667,0.297297,0.684211,0.189744,3.513514,0.717273
26,13,10,146,0.064103,0.666667,0.722222,0.666667,0.277778,0.693333,0.184615,3.611111,0.723143
25,14,10,146,0.064103,0.641026,0.714286,0.641026,0.285714,0.675676,0.179487,3.571429,0.73
25,14,8,148,0.051282,0.641026,0.757576,0.641026,0.242424,0.694444,0.169231,3.787879,0.75
25,14,7,149,0.044872,0.641026,0.78125,0.641026,0.21875,0.704225,0.164103,3.90625,0.76
25,14,6,150,0.038462,0.641026,0.806452,0.641026,0.193548,0.714286,0.158974,4.032258,0.77
24,15,6,150,0.038462,0.615385,0.8,0.615385,0.2,0.695652,0.153846,4,0.78
24,15,5,151,0.032051,0.615385,0.827586,0.615385,0.172414,0.705882,0.148718,4.137931,0.79
