True Positives	 False Negatives	 False Positives	 True Negatives	 False Positive Rate	 True Positive Rate	 Precision numeric	 Recall numeric	 Fallout numeric	 FMeasure numeric	 Sample Size	 Lift numeric	 Threshold numeric		da curva maior para a menor
39	0	156	0	1	1	0,2	1	0,8	0,333333	1	1	0		spCatalog
38	1	126	30	0,807692	0,974359	0,231707	0,974359	0,768293	0,374384	0,841026	1,158537	0,001667		spOccurence
37	2	126	30	0,807692	0,948718	0,226994	0,948718	0,773006	0,366337	0,835897	1,134969	2		expObservation
37	2	125	31	0,801282	0,948718	0,228395	0,948718	0,771605	0,368159	0,830769	1,141975	0,003333		spMonitoring
37	2	124	32	0,794872	0,948718	0,229814	0,948718	0,770186	0,37	0,825641	1,149068	0,008312		geneData
36	3	124	32	0,794872	0,923077	225	0,923077	775	0,361809	0,820513	1125	0,009167		
36	3	123	33	0,788462	0,923077	0,226415	0,923077	0,773585	0,363636	0,815385	1,132075	0,01		
36	3	114	42	0,730769	0,923077	0,24	0,923077	0,76	0,380952	0,769231	1,2	0,01		
36	3	113	43	0,724359	0,923077	0,241611	0,923077	0,758389	0,382979	0,764103	1,208054	0,010625		
36	3	112	44	0,717949	0,923077	0,243243	0,923077	0,756757	0,385027	0,758974	1,216216	14		
35	4	112	44	0,717949	0,897436	0,238095	0,897436	0,761905	0,376344	0,753846	1,190476	15		
35	4	110	46	0,705128	0,897436	0,241379	0,897436	0,758621	0,380435	0,74359	1,206897	0,02		
35	4	106	50	0,679487	0,897436	0,248227	0,897436	0,751773	0,388889	0,723077	1,241135	0,020577		
35	4	105	51	0,673077	0,897436	0,25	0,897436	0,75	0,391061	0,717949	1,25	0,03		
34	5	104	52	0,666667	0,871795	0,246377	0,871795	0,753623	0,384181	0,707692	1,231884	0,036455		
34	5	103	53	0,660256	0,871795	0,248175	0,871795	0,751825	0,386364	0,702564	1,240876	0,036667		
34	5	102	54	0,653846	0,871795	0,25	0,871795	0,75	0,388571	0,697436	1,25	0,04		
