1,0.00,0.25,0.00,0.00,0.00,0.00,taxonIdentification
1_s2,0.46,0.00,0.02,0.00,0.00,0.00,spMonitoring
103Sp11_plant_database_template,1.36,0.00,0.00,0.02,0.04,0.03,spOccurrence
12452,0.17,0.28,0.00,0.00,0.00,0.00,spOccurrence
13117,0.17,0.28,0.00,0.00,0.00,0.00,expObservation
13148_2017_344_MOESM8_ESM,1.00,0.11,0.04,0.31,0.00,0.00,geneData
14044,0.17,0.28,0.00,0.00,0.00,0.00,spMonitoring
1471_2105_10_s11_s8_s2,0.00,0.00,0.00,0.00,0.00,0.00,taxonIdentification
1471_2148_11_342_s1,1.36,0.00,0.00,0.00,0.00,0.00,geneData
1471_2148_5_66_S3,0.10,0.00,0.00,0.00,0.00,0.00,spMonitoring
1471_2148_9_145_S5,1.00,0.00,0.00,0.00,0.00,0.35,spOccurrence
1471_2164_15_s12_s11_s1,0.11,0.06,0.00,0.03,0.02,0.00,geneData
1471_2229_11_33_s6,1.24,0.00,0.00,0.00,0.00,0.00,geneData
16597,0.17,0.28,0.00,0.00,0.00,0.00,expObservation
1745_6150_6_65_s8,0.19,0.01,0.00,0.00,0.00,0.00,geneData
1750_0680_5_7_s1,0.00,0.00,0.00,0.01,0.11,0.31,spMonitoring
183426Supplemental_Tables_S7_to_S10,0.25,0.00,0.00,0.00,0.03,0.21,spOccurrence
18345,0.10,0.13,0.00,1.00,0.00,0.00,spMonitoring
1950_Antarctic_20Sponges_205,0.08,0.00,0.00,0.03,0.00,0.02,taxonIdentification
1988_1991_20NJDEP_20Survey,0.03,0.00,0.00,0.00,0.02,0.00,expObservation
2004cumulative_list2,1.25,0.00,0.00,0.00,0.00,0.06,spMonitoring
2006_154,0.00,0.00,0.00,0.25,0.00,0.00,expObservation
2007rptSpecies,0.37,0.00,0.00,0.00,0.00,0.00,spMonitoring
2007_05_31_sleep2_database_from_bu,0.00,0.00,0.25,1.00,0.01,0.00,spMonitoring
2008_TaxonList,0.04,0.25,0.00,0.00,0.00,0.00,taxonIdentification
2009_russell_et_al_supplementary2,1.49,0.00,0.00,0.00,0.00,0.00,taxonIdentification
2009_TaxonList,0.04,0.25,0.00,0.00,0.00,0.00,taxonIdentification
2010_03_24_OrganismLU,0.32,0.00,0.00,0.25,0.00,0.00,taxonIdentification
2011_Athens_East_Coast_Feb_9th,0.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
2012_20EwN_20Why_20is_20biodiversity_20important,0.00,0.00,0.00,0.00,0.06,1.36,spOccurrence
2012_Rare_Vascular_Plant_List,0.36,0.00,0.00,0.00,0.00,0.00,taxonIdentification
