@RELATION biodiversity

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,taxonIdentification,spOccurrence,geneData,spMonitoring}

@DATA
0.00,0.25,0.00,0.00,0.00,0.00,taxonIdentification
0.46,0.00,0.02,0.00,0.00,0.00,spMonitoring
1.36,0.00,0.00,0.02,0.04,0.03,spOccurrence
0.17,0.28,0.00,0.00,0.00,0.00,spOccurrence
0.17,0.28,0.00,0.00,0.00,0.00,expObservation
1.00,0.11,0.04,0.31,0.00,0.00,geneData
0.17,0.28,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.00,0.00,taxonIdentification
1.36,0.00,0.00,0.00,0.00,0.00,geneData
0.10,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.00,0.00,0.00,0.00,0.00,0.35,spOccurrence
0.11,0.06,0.00,0.03,0.02,0.00,geneData
1.24,0.00,0.00,0.00,0.00,0.00,geneData
0.17,0.28,0.00,0.00,0.00,0.00,expObservation
0.19,0.01,0.00,0.00,0.00,0.00,geneData
0.00,0.00,0.00,0.01,0.11,0.31,spMonitoring
0.25,0.00,0.00,0.00,0.03,0.21,spOccurrence
0.10,0.13,0.00,1.00,0.00,0.00,spMonitoring
0.08,0.00,0.00,0.03,0.00,0.02,taxonIdentification
0.03,0.00,0.00,0.00,0.02,0.00,expObservation
1.25,0.00,0.00,0.00,0.00,0.06,spMonitoring
0.00,0.00,0.00,0.25,0.00,0.00,expObservation
0.37,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.25,1.00,0.01,0.00,spMonitoring
0.04,0.25,0.00,0.00,0.00,0.00,taxonIdentification
1.49,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.04,0.25,0.00,0.00,0.00,0.00,taxonIdentification
0.32,0.00,0.00,0.25,0.00,0.00,taxonIdentification
0.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.06,1.36,spOccurrence
0.36,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.01,0.00,0.00,1.00,0.00,0.03,expObservation
0.00,0.00,0.00,0.01,0.00,0.00,expObservation
0.12,0.00,0.00,0.00,0.00,0.06,geneData
1.31,0.00,0.00,0.02,0.00,0.00,spMonitoring
0.49,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.04,0.11,0.00,0.25,0.00,0.00,geneData
1.00,0.00,0.06,0.25,0.00,0.00,taxonIdentification
0.25,1.00,0.00,0.00,0.00,0.00,geneData
0.00,0.25,0.00,1.00,0.00,0.11,spMonitoring
0.45,0.04,0.01,0.00,0.00,0.00,taxonIdentification
0.17,0.00,0.00,0.00,0.12,1.25,taxonIdentification
1.00,0.00,0.00,0.00,0.00,0.00,expObservation
0.02,0.01,0.00,0.00,0.00,1.42,spOccurrence
0.00,0.00,0.01,1.00,0.00,0.00,spOccurrence
0.17,0.28,0.00,0.00,0.00,0.00,spOccurrence
0.00,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.17,0.28,0.00,0.00,0.00,0.00,spMonitoring
0.55,0.00,0.00,1.00,0.00,0.00,taxonIdentification
