@RELATION biodiversity

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,taxonIdentification,spOccurrence,geneData,spMonitoring}

@DATA
0.25,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.00,0.00,0.00,0.00,0.09,0.00,spOccurrence
0.08,0.00,0.01,0.00,0.02,0.00,geneData
0.11,0.06,0.02,0.00,0.05,0.04,geneData
0.12,0.02,0.00,0.00,0.03,0.00,taxonIdentification
0.03,0.00,0.00,0.03,0.01,0.00,geneData
0.12,0.02,0.00,0.00,0.03,0.00,taxonIdentification
0.11,0.00,1.00,0.00,0.00,0.00,geneData
0.12,0.02,0.00,0.00,0.03,0.00,taxonIdentification
0.03,0.01,0.00,0.00,0.00,0.00,geneData
0.15,0.00,0.00,0.02,0.00,0.00,geneData
1.06,0.00,0.00,0.00,0.00,0.00,geneData
1.00,0.00,0.03,0.00,0.35,0.00,geneData
0.00,0.00,0.02,0.00,0.00,0.02,geneData
0.27,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.12,0.02,0.00,0.00,0.03,0.00,taxonIdentification
0.00,0.00,0.00,0.00,0.00,0.00,geneData
0.04,0.00,0.27,0.00,0.13,0.00,spOccurrence
0.00,0.00,0.00,0.00,1.46,0.00,spOccurrence
0.08,0.02,0.00,0.00,0.03,0.00,geneData
0.01,0.00,0.00,0.00,0.06,0.00,geneData
0.02,0.00,0.00,0.00,1.41,0.00,spMonitoring
0.02,0.00,0.00,0.00,1.41,0.00,spMonitoring
0.02,0.00,0.01,0.00,1.40,0.00,spMonitoring
0.03,0.00,0.00,0.00,0.49,0.00,geneData
0.11,0.00,0.00,0.00,0.06,0.00,geneData
0.03,0.00,0.00,0.00,0.49,0.00,geneData
0.02,0.00,0.00,0.00,0.17,1.00,spOccurrence
0.12,0.00,0.00,0.00,0.01,0.01,geneData
0.37,0.00,0.00,0.00,0.00,0.00,spMonitoring
