@RELATION biodiversity

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,taxonIdentification,spOccurrence,geneData,spMonitoring}

@DATA
0.00,0.25,0.00,0.00,0.00,0.00,taxonIdentification
0.00,0.00,0.00,0.00,0.02,0.00,geneData
0.05,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.11,0.00,0.00,0.02,0.03,0.04,geneData
0.06,0.00,0.00,0.00,0.01,0.00,taxonIdentification
0.03,0.00,0.00,0.00,0.01,0.00,taxonIdentification
0.06,0.00,0.00,0.00,0.01,0.00,taxonIdentification
0.00,0.11,0.00,0.00,0.00,0.00,geneData
0.06,0.00,0.00,0.00,0.01,0.00,taxonIdentification
0.00,0.02,0.00,0.00,0.00,0.00,taxonIdentification
0.06,0.00,0.00,0.00,0.00,0.00,geneData
1.00,0.00,0.00,0.00,0.06,0.00,taxonIdentification
0.11,0.00,0.00,0.00,0.00,0.00,geneData
0.06,0.00,0.00,0.00,0.01,0.00,taxonIdentification
0.00,0.00,0.00,0.00,0.00,0.00,geneData
0.01,0.00,0.00,0.00,0.06,0.00,spOccurrence
0.25,0.00,0.00,0.00,1.10,0.00,geneData
0.04,0.00,0.00,0.00,0.01,0.00,geneData
0.01,0.00,0.00,0.00,0.01,0.00,geneData
0.02,0.00,1.01,0.00,0.12,0.00,spOccurrence
0.02,0.00,1.01,0.00,0.12,0.00,spOccurrence
0.02,0.00,1.02,0.00,0.10,0.00,spOccurrence
0.03,0.00,0.38,0.00,0.00,0.00,spMonitoring
0.04,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.03,0.00,0.38,0.00,0.00,0.00,spMonitoring
0.02,0.00,0.00,0.00,0.11,0.00,spOccurrence
0.37,0.00,0.00,0.00,0.00,0.00,expObservation
0.00,0.00,0.00,0.00,0.00,0.00,taxonIdentification
0.31,0.00,0.00,0.00,0.00,0.00,taxonIdentification
